"function","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0088803,1,87.504,61.875,61.875,0
0.0084268,1,87.681,62,62,0
0.0080273,1,87.858,62.125,62.125,0
0.0076286,1,88.035,62.25,62.25,0
0.0072307,1,88.212,62.375,62.375,0
0.0068335,1,88.388,62.5,62.5,0
0.0064371,1,88.565,62.625,62.625,0
0.0060415,1,88.742,62.75,62.75,0
0.0056467,1,88.919,62.875,62.875,0
0.0052526,1,89.095,63,63,0
0.0049308,1,89.272,63.125,63.125,0
0.0046097,1,89.449,63.25,63.25,0
0.0042892,1,89.626,63.375,63.375,0
0.0039694,1,89.803,63.5,63.5,0
0.0036502,1,89.979,63.625,63.625,0
0.0033316,1,90.156,63.75,63.75,0
0.0030136,1,90.333,63.875,63.875,0
0.0026963,1,90.51,64,64,0
0.0024658,1,90.686,64.125,64.125,0
0.0022357,1,90.863,64.25,64.25,0
0.0020061,1,91.04,64.375,64.375,0
0.0017769,1,91.217,64.5,64.5,0
0.0015482,1,91.394,64.625,64.625,0
0.00132,1,91.57,64.75,64.75,0
0.0010922,1,91.747,64.875,64.875,0
0.00086494,1,91.924,65,65,0
0.00073444,1,92.101,65.125,65.125,0
0.00060421,1,92.277,65.25,65.25,0
0.00047426,1,92.454,65.375,65.375,0
0.00034457,1,92.631,65.5,65.5,0
0.00021515,1,92.808,65.625,65.625,0
8.6007e-05,1,92.985,65.75,65.75,0
-4.2868e-05,1,93.161,65.875,65.875,0
-0.00017147,1,93.338,66,66,0
-0.00019799,1,93.515,66.125,66.125,0
-0.00022446,1,93.692,66.25,66.25,0
-0.00025087,1,93.868,66.375,66.375,0
-0.00027722,1,94.045,66.5,66.5,0
-0.00030351,1,94.222,66.625,66.625,0
-0.00032974,1,94.399,66.75,66.75,0
-0.00035592,1,94.576,66.875,66.875,0
-0.00038204,1,94.752,67,67,0
-0.00030568,1,94.929,67.125,67.125,0
-0.00022948,1,95.106,67.25,67.25,0
-0.00015344,1,95.283,67.375,67.375,0
-7.757e-05,1,95.459,67.5,67.5,0
-1.8633e-06,1,95.636,67.625,67.625,0
7.3679e-05,1,95.813,67.75,67.75,0
0.00014906,1,95.99,67.875,67.875,0
0.00022427,1,96.167,68,68,0
0.00039757,1,96.343,68.125,68.125,0
0.00057049,1,96.52,68.25,68.25,0
0.00074303,1,96.697,68.375,68.375,0
0.00091518,1,96.874,68.5,68.5,0
0.0010869,1,97.05,68.625,68.625,0
0.0012583,1,97.227,68.75,68.75,0
0.0014293,1,97.404,68.875,68.875,0
0.0015999,1,97.581,69,69,0
0.0018597,1,97.758,69.125,69.125,0
0.002119,1,97.934,69.25,69.25,0
0.0023776,1,98.111,69.375,69.375,0
0.0026356,1,98.288,69.5,69.5,0
0.0028931,1,98.465,69.625,69.625,0
0.0031499,1,98.641,69.75,69.75,0
0.0034062,1,98.818,69.875,69.875,0
0.0036619,1,98.995,70,70,0
0.0039939,1,99.172,70.125,70.125,0
0.0043251,1,99.349,70.25,70.25,0
0.0046556,1,99.525,70.375,70.375,0
0.0049853,1,99.702,70.5,70.5,0
0.0053142,1,99.879,70.625,70.625,0
0.0056423,1,100.06,70.75,70.75,0
0.0059696,1,100.23,70.875,70.875,0
0.0062961,1,100.41,71,71,0
0.0066829,1,100.59,71.125,71.125,0
0.0070687,1,100.76,71.25,71.25,0
0.0074536,1,100.94,71.375,71.375,0
0.0078376,1,101.12,71.5,71.5,0
0.0082206,1,101.29,71.625,71.625,0
0.0086026,1,101.47,71.75,71.75,0
0.0089837,1,101.65,71.875,71.875,0
0.0093639,1,101.82,72,72,0
0.0097857,1,102,72.125,72.125,0
0.010206,1,102.18,72.25,72.25,0
0.010626,1,102.35,72.375,72.375,0
0.011045,1,102.53,72.5,72.5,0
0.011462,1,102.71,72.625,72.625,0
0.011879,1,102.88,72.75,72.75,0
0.012294,1,103.06,72.875,72.875,0
0.012709,1,103.24,73,73,0
0.013144,1,103.41,73.125,73.125,0
0.013579,1,103.59,73.25,73.25,0
0.014012,1,103.77,73.375,73.375,0
0.014445,1,103.94,73.5,73.5,0
0.014876,1,104.12,73.625,73.625,0
0.015306,1,104.3,73.75,73.75,0
0.015735,1,104.48,73.875,73.875,0
0.016163,1,104.65,74,74,0
0.016592,1,104.83,74.125,74.125,0
0.017019,1,105.01,74.25,74.25,0
0.017445,1,105.18,74.375,74.375,0
0.01787,1,105.36,74.5,74.5,0
0.018294,1,105.54,74.625,74.625,0
0.018717,1,105.71,74.75,74.75,0
0.019138,1,105.89,74.875,74.875,0
0.019559,1,106.07,75,75,0
0.019959,1,106.24,75.125,75.125,0
0.020359,1,106.42,75.25,75.25,0
0.020757,1,106.6,75.375,75.375,0
0.021155,1,106.77,75.5,75.5,0
0.021551,1,106.95,75.625,75.625,0
0.021946,1,107.13,75.75,75.75,0
0.02234,1,107.3,75.875,75.875,0
0.022732,1,107.48,76,76,0
0.023086,1,107.66,76.125,76.125,0
0.023439,1,107.83,76.25,76.25,0
0.023791,1,108.01,76.375,76.375,0
0.024142,1,108.19,76.5,76.5,0
0.024492,1,108.36,76.625,76.625,0
0.02484,1,108.54,76.75,76.75,0
0.025188,1,108.72,76.875,76.875,0
0.025535,1,108.89,77,77,0
0.025826,1,109.07,77.125,77.125,0
0.026116,1,109.25,77.25,77.25,0
0.026405,1,109.42,77.375,77.375,0
0.026693,1,109.6,77.5,77.5,0
0.02698,1,109.78,77.625,77.625,0
0.027267,1,109.96,77.75,77.75,0
0.027552,1,110.13,77.875,77.875,0
0.027836,1,110.31,78,78,0
0.028051,1,110.49,78.125,78.125,0
0.028266,1,110.66,78.25,78.25,0
0.028479,1,110.84,78.375,78.375,0
0.028692,1,111.02,78.5,78.5,0
0.028904,1,111.19,78.625,78.625,0
0.029115,1,111.37,78.75,78.75,0
0.029325,1,111.55,78.875,78.875,0
